tweet_url,tweet_support_message
https://twitter.com/4EverINAxo/status/917846049116397568,"I'm so sorry for ur loss, RIP"
https://twitter.com/4EverINAxo/status/917846049116397568,I am really sorry for your loss.  Prayers for you and your family.
https://twitter.com/airamselasor/status/918987199747538944,I don't know anyone :( sorry
https://twitter.com/airamselasor/status/918987199747538944,Maybe you'll get lucky!  Hoping and praying.
https://twitter.com/thankingdolans/status/919129577934544896,how much is it? I might be able to help you I know you really want to go
https://twitter.com/thankingdolans/status/919129577934544896,me neither :(
https://twitter.com/jadelynxt/status/919112476930727936,ooh yeah i love acrylics!
https://twitter.com/jadelynxt/status/919112476930727936,Beauty has its price.  Post a pic for us to see.
https://twitter.com/KateParinas/status/919140055842615301,"yes it's frustrating.  the key, i think,is to do the best you can within reason.  treat yourself to things, but within reason."
https://twitter.com/KateParinas/status/919140055842615301,There's lot of things you can do to save money.  Call me later and let's chat!
https://twitter.com/_stacyy02/status/918290546036154369,who? how??
https://twitter.com/_stacyy02/status/918290546036154369,Who did?  Did you call the police and file a report?  You'd better!
https://twitter.com/bienamee/status/919041382370742272,really sorry to hear that.  do you need a ride to see a doctor?
https://twitter.com/bienamee/status/919041382370742272,hope u get better soon
https://twitter.com/NicanorChan/status/918120188083552256,Bummer. You deserve better.
https://twitter.com/NicanorChan/status/918120188083552256,haha so sad!
https://twitter.com/K918497248257785856NamedDreww/status/918497248257785856,"vacation soon, yay!"
https://twitter.com/K918497248257785856NamedDreww/status/918497248257785856,Your day will go faster and you'll be on vacation before you know it!  Cheers!
https://twitter.com/taeskookiess/status/918861667110285313,"He was a good boy.  Thinking of you, my friend."
https://twitter.com/taeskookiess/status/918861667110285313,i'm so sorry.  i can  relate to what you're going through.  remember the good times.  best wishes
https://twitter.com/ismisecaragh/status/918440160932622336,Have you considered H&R Block?
https://twitter.com/ismisecaragh/status/918440160932622336,"Message me, I will help you"
https://twitter.com/bigilmore2017/status/919072993505972224,good looks aren't enough???
https://twitter.com/bigilmore2017/status/919072993505972224,Will be praying the Lord opens something up for you
https://twitter.com/kimbapik919074624964407297ding/status/919074624964407297,i hate being broke
https://twitter.com/kimbapik919074624964407297ding/status/919074624964407297,"Wow, too bad.  Nada for me too."
https://twitter.com/tiaarnold99/status/918814603198521344,"Aww, that's terrible.  Want to chat?"
https://twitter.com/tiaarnold99/status/918814603198521344,that's sad.
https://twitter.com/__mariahbear/status/919033144212201472,are you saying you're ready for sensible old-lady velcro-strap walking shoes in black?
https://twitter.com/__mariahbear/status/919033144212201472,sorry; try to relax...maybe a nice warm bath?  good luck.
https://twitter.com/probablyjikook/status/917755861249884160,"Wow, that really sucks.  Any luck getting work?"
https://twitter.com/probablyjikook/status/917755861249884160,Oh I know!!
https://twitter.com/intosza/status/918892795741515777,I am the same way :(
https://twitter.com/intosza/status/918892795741515777,relationships can be difficult; no question about it.  but we learn from all of them; things will work out.  good luck.
https://twitter.com/_stephvniea_/status/919080120111034368,double trouble! that sucks
https://twitter.com/_stephvniea_/status/919080120111034368,Take a Motrin 800 mg. and take a nap for the rest of the day.
https://twitter.com/ariana_zialcita/status/918470793079562240,i'm sorry to hear that.  give the cats a lot of love; it's really all you can do at this point.   try and hang in there.
https://twitter.com/ariana_zialcita/status/918470793079562240,Thst's so sad!
https://twitter.com/soortle_/status/919143419871617024,"No one studied harder than you, you'll be fine."
https://twitter.com/soortle_/status/919143419871617024,"study, pass, succeed. repeat until you believe it."
https://twitter.com/GLKJAEHWAN/status/919034081534529536,glad ur feeling better!
https://twitter.com/GLKJAEHWAN/status/919034081534529536,You will be fine soon.
https://twitter.com/VeeBeeep/status/919152387473932288,ha i feel ya!
https://twitter.com/VeeBeeep/status/919152387473932288,Bummer.  Someday you will have the bread.
https://twitter.com/allureosh/status/917327904287027200,Just do a few paragraphs at a time.
https://twitter.com/allureosh/status/917327904287027200,try to relax and just take this one step at a time.  in the end it will work out.
https://twitter.com/_sickb0y/status/919086129487536128,that's so early in the morning!
https://twitter.com/_sickb0y/status/919086129487536128,i know exactly what you mean.  have you considered getting another job?
