"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.tweet_url","Input.tweet_support_message","Answer.Q1Answer","Answer.Q2Answer","Answer.Q3Answer","Approve","Reject"
"35XW21VSVGZCKVCXGX8KDCCACXKLSJ","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:13 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:13 PST 2017","","","3137ONMDKHQYB4R8UDW1ZNY7OPXEGX","A1KF93C9NTOP42","Approved","Fri Nov 10 01:51:52 PST 2017","Fri Nov 10 01:52:30 PST 2017","Mon Nov 13 01:52:30 PST 2017","Fri Nov 10 04:51:58 PST 2017","","","38","100% (1/1)","100% (1/1)","100% (1/1)","https://twitter.com/kodadiana/status/919093764538351616","Haha I do the same thing!","yes","ss|sm",""
"3QMELQS6Y5WI0V9DE42DYJPH00CR6T","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:24 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:24 PST 2017","","","3DL65MZB8E0LUSB3SR0I9WDSQVQEC4","A1V2M2C00I5SWW","Approved","Thu Nov 09 13:08:38 PST 2017","Thu Nov 09 13:09:00 PST 2017","Sun Nov 12 13:09:00 PST 2017","Fri Nov 10 04:52:01 PST 2017","","","22","100% (5/5)","100% (5/5)","100% (5/5)","https://twitter.com/jadelynxt/status/919112476930727936","ooh yeah i love acrylics!","yes","",""
"3QXFBUZ4ZK1CDGQ0UB64FLPQ1DJGUO","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:23 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:23 PST 2017","","","3HRMW88U17BZCO80X9VHR3G0QAZ0M5","A2MPA5OAT635HG","Approved","Fri Nov 10 01:40:54 PST 2017","Fri Nov 10 01:45:04 PST 2017","Mon Nov 13 01:45:04 PST 2017","Fri Nov 10 04:52:01 PST 2017","","","250","100% (2/2)","100% (2/2)","100% (2/2)","https://twitter.com/Lazza1307/status/918988096254947328","wow that's rough","yes","sm",""
"3KVQ0UJWPX6RPNQL8F2ETCJYWKGW5L","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:23 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:23 PST 2017","","","3DBQWDE4Y7J4PDF16GGTLD1RC8D5NO","A1LNKO3BZWAQZR","Approved","Thu Nov 09 21:51:15 PST 2017","Thu Nov 09 21:52:22 PST 2017","Sun Nov 12 21:52:22 PST 2017","Fri Nov 10 04:52:00 PST 2017","","","67","100% (4/4)","100% (4/4)","100% (4/4)","https://twitter.com/hit_punch/status/919067169073242113","feel better honey!","yes","","ges"
"3LN3BXKGC0GP5KF5PBL5X9ANMTUGWN","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:24 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:24 PST 2017","","","3H8DHMCCWAWYLK9RO96WRX8FVU2KD2","A25WVZ3L3SKB5F","Approved","Thu Nov 09 20:33:49 PST 2017","Thu Nov 09 20:34:05 PST 2017","Sun Nov 12 20:34:05 PST 2017","Fri Nov 10 04:52:00 PST 2017","","","16","100% (3/3)","100% (3/3)","100% (3/3)","https://twitter.com/_stacyy02/status/918290546036154369","who? how??","yes","",""
"3MXX6RQ9EVQJ9VPKIO59WQ5O3RJ4PU","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:38 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:38 PST 2017","","","3X4JMASXCNU3TX436K58DN56EBL0B6","A3EQ6C5226X6XN","Approved","Thu Nov 09 20:42:21 PST 2017","Thu Nov 09 20:42:35 PST 2017","Sun Nov 12 20:42:35 PST 2017","Fri Nov 10 04:52:00 PST 2017","","","14","100% (2/2)","100% (2/2)","100% (2/2)","https://twitter.com/Wheres_Monique/status/919055110528995328","You only need 2 hours of sleep ;)","yes","","ges"
"3M93N4X8HK86P5OXDCW7XXZI88FJSF","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:24 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:24 PST 2017","","","3OJSZ2ATDTHFMSNEQ9Z4PGF1CT1576","AVJQCYPOW6LOA","Approved","Thu Nov 09 19:24:30 PST 2017","Thu Nov 09 19:24:47 PST 2017","Sun Nov 12 19:24:47 PST 2017","Fri Nov 10 04:52:00 PST 2017","","","17","100% (4/4)","100% (4/4)","100% (4/4)","https://twitter.com/bigilmore2017/status/919072993505972224","good looks aren't enough???","yes","cc",""
"3XBXDSS8884KGCYWA7E7CKT2RCMLXR","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:24 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:24 PST 2017","","","39RP059MEIE0WBBAVPS6BKCJHDZBM3","A289DF24X3Q8JZ","Approved","Thu Nov 09 14:56:28 PST 2017","Thu Nov 09 14:56:42 PST 2017","Sun Nov 12 14:56:42 PST 2017","Fri Nov 10 04:52:01 PST 2017","","","14","100% (4/4)","100% (4/4)","100% (4/4)","https://twitter.com/paulinavelascoo/status/919011866193596416","oh i know","yes","","ges"
"3QGHA0EA0JLTE37U9PTRWYJQ6G3BW2","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:39 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:39 PST 2017","","","3DBQWDE4Y7J4PDF16GGTLD1RC89N52","A25WVZ3L3SKB5F","Approved","Thu Nov 09 20:37:04 PST 2017","Thu Nov 09 20:37:27 PST 2017","Sun Nov 12 20:37:27 PST 2017","Fri Nov 10 04:52:00 PST 2017","","","23","100% (3/3)","100% (3/3)","100% (3/3)","https://twitter.com/ffscatherine_/status/919020377187041281","Let's go out after work tomorrow.  We can look through Job Monster to find you a new gig.","yes","sm",""
"3W5PY7V3UPS3LR06CIOWFJNJPTBYJ8","3LK5VHJO1XAI4GAOT3RXKXFIA6QESO","Analysing Replies to Tweets","You are kindly requested to read replies to tweets and match them with sentences that will be presented to you. It is very quick!","Twitter tweet text analysis survey","$0.01","Thu Nov 09 08:13:24 PST 2017","1","BatchId:3003157;OriginalHitTemplateId:920937336;","3600","259200","Thu Nov 16 08:13:24 PST 2017","","","308XBLVESJPRTRO20XONXJ6TN0YBRR","A289DF24X3Q8JZ","Approved","Thu Nov 09 14:56:43 PST 2017","Thu Nov 09 14:56:55 PST 2017","Sun Nov 12 14:56:55 PST 2017","Fri Nov 10 04:52:01 PST 2017","","","12","100% (4/4)","100% (4/4)","100% (4/4)","https://twitter.com/malditaseaari/status/918753413491343361","where is she then>","yes","ad",""
